obra_id,nota
3c66afe9-b83f-4b6b-aafd-b4ea658d446d,"Corpo de conhecimento canônico de arquitetura de negócios: mapa de capacidades, fluxo de valor e organização — é a régua para definir capacidade na PlataFirma."
5d4556a3-9715-4988-b801-e819ad48f47d,"Método de arquitetura corporativa (ADM) e ligação entre camada de negócio, dados, aplicação e tecnologia — referência de estrutura de decisão arquitetural."
def17e8f-95c1-431f-b64a-ef110235030e,Fundamenta metodologicamente o que é arquitetura de negócios como disciplina; uso para defender o recorte da head contra a leitura de que arquitetura é só software.
acd7590d-e3f9-4282-a023-5c8c0f698bd4,Régua de definição de problema antes de arquitetar: de quem é o problema e qual é o problema real — usada em todo reenquadramento que faço.
94d1793e-30b2-416a-bb79-48579d6e77ff,Cascata de objetivos corporativos para objetivos de TI: é o instrumento que uso para justificar alinhamento entre objetivo de negócio e decisão técnica.
ccc19c82-6204-4c1c-a8f2-c8a76a093b2c,Framework de governança que separa governar de gerenciar — distinção que sustento em toda decisão de responsabilidade entre cadeiras.
d47bad12-585f-4acf-924d-4d62395b749c,Catálogo de processos habilitadores; base para modelar processo do negócio sem inventar taxonomia própria.
9c23b902-9501-48f3-add0-75bfaeec4978,Referência de modelagem e gestão de processos do negócio no setor público — processo é objeto direto da head.
bdeb0143-35c4-4c74-8f4f-18ba2dfc21bd,Soft Systems Methodology: método para modelar sistema de atividade humana quando o problema não está estruturado — arquitetura de negócios antes do desenho.
a640b765-42e6-4463-bd4f-5f4a28ad2d9a,Planejamento interativo de Ackoff: régua para decidir o que projetar de trás pra frente a partir do fim desejado.
ad68ae5e-2f64-4ba4-bf2d-74735f723fb7,Métodos de estruturação de problema (PSM) para situação com conflito e incerteza — ferramenta de análise antes de fixar arquitetura.
c70e4339-4aff-4607-ac0e-abf2a95142e0,Wicked problems: a razão pela qual decisão de arquitetura de negócios não tem critério de parada objetivo — cito em ADR de escopo.
dc3404fc-d73f-4ead-83e4-1812a83ae109,Simon sobre problema mal estruturado: base para decidir quando parar de refinar e fixar uma decisão difícil de reverter.
49689a0b-bdb6-4707-8f51-b7d742642eaa,Configurações organizacionais de Mintzberg: régua para casar estrutura organizacional com capacidade que ela precisa sustentar.
8ab6b294-3113-40a0-9b30-bfef4932199d,Lei de Conway na fonte: estrutura de comunicação determina forma do sistema — argumento que uso ao desenhar fronteira de componente.
2216a203-568e-485b-b822-094fc3552cb5,Fronteira de time como força de arquitetura e carga cognitiva como limite de contexto delimitado — decisão de topologia é decisão arquitetural.
