(GPPEI) Guia_PEI_VF	estado-organizacoes	guia	firma
(Nonviolent Communication Guides) Marshall B. Rosenberg - Nonviolent Communication-Puddledancer Press (2015)	—	livro	firma
(PGD) - Doc tecnica das APIs - Res CPGD-MGI n2	—	—	firma
(PGD) IN nº 24 (Comparada e consolidada) jul2025	estado-organizacoes	instrucao-normativa	firma
(PNDP) IN SGP-ENAP-MGI 244 13062025	estado-organizacoes	instrucao-normativa	firma
(PTD) Plano de Transformação Digital - MGI	—	—	firma
(Revised) Dale Carnegie - How to win friends and influence people-Simon and Schuster (1981)	—	—	pessoal
01_Abin_Referencial_de_análise-(artigos)	—	—	firma
02+-+Autorizacao+Abertura+do+processo+licitatorio(1).assinado (1)	—	—	firma
1-s2.0-S0740624X22001204-main	—	—	firma
10 Ways to Tell if Your President Is a Dictator _ Foreign Policy	—	—	pessoal
1006-Manual_do_Candidato_-_Nocoes_de_Direito_e_Direito_Internacional	—	—	pessoal
1424651_file_Pritchett_Capability_FINAL	—	—	firma
1426292_file_Andrews_Pritchett_Woolcock_traps_FINAL_0	—	—	firma
17_2026	—	—	firma
1808LaurentinoGomes	—	—	pessoal
1889 - Laurentino Gomes	—	—	pessoal
2000_SandhuFerraioloKuhn_NIST_Model_for_RBAC_preprint.pdf	seguranca-privacidade/seg-acessos	paper	firma
2014-state-of-devops-report	engenharia-software/gestao-engenharia	relatorio	firma
2015-state-of-devops-report	engenharia-software/gestao-engenharia	relatorio	firma
2016-state-of-devops-report	engenharia-software/gestao-engenharia	relatorio	firma
2017-COSO-ERM-Integrating-with-Strategy-and-Performance-Executive-Summary	estado-organizacoes	relatorio	firma
2017-state-of-devops-report	engenharia-software/gestao-engenharia	relatorio	firma
2018-dora-accelerate-state-of-devops-report	engenharia-software/gestao-engenharia	relatorio	firma
2018_dis_mmlustosa	—	—	firma
2019-dora-accelerate-state-of-devops-report	engenharia-software/gestao-engenharia	relatorio	firma
2020-devops-transformation-google-cloud-dora	engenharia-software/gestao-engenharia	relatorio	firma
2021-dora-accelerate-state-of-devops-report	engenharia-software/gestao-engenharia	relatorio	firma
2022-dora-accelerate-state-of-devops-report	engenharia-software/gestao-engenharia	relatorio	firma
2023-dora-accelerate-state-of-devops-report	engenharia-software/gestao-engenharia	relatorio	firma
2024-dora-accelerate-state-of-devops-report	engenharia-software/gestao-engenharia	relatorio	firma
2025_state_of_ai_assisted_software_development	engenharia-software/gestao-engenharia	relatorio	firma
2026_tcc_mycsilva	—	—	firma
23 Things They Don_t Tell You About Capitalism	—	—	pessoal
2308.01597v1	—	—	firma
2404.17758v2	—	—	firma
2455-9667-3-PB	—	—	firma
27813-legitimacy-of-intelligence-according-to-political-thinkers (1)	—	—	firma
32_2026	—	—	firma
4_Arqueologia_SIAPE_FITA_ESPELHO	governo-digital/sistemas-federais-br	levantamento	firma
4_Arqueologia_Siape_Manual-Extrator	governo-digital/sistemas-federais-br	guia	firma
4_Arqueologia_Siape_Manual_WEBSERVICE	governo-digital/sistemas-federais-br	guia	firma
5-3-1_-_Jim_Wendler	—	—	pessoal
5-A-Cooperative-Approach-between-intelligence-and-policymakers-at-the-national-level-does-it-have-a-chance	—	—	firma
503124.503150	—	—	firma
A Philosophy of Software Design -- Ousterhout, John -- 2019 -- Yaknyam Press, Palo Alto, CA -- 6adf525f29b1c3fcb5d2f0c8bf67b001 -- Anna’s Archive	—	—	firma
A Simple Guide to Retrieval Augmented Generation -- Abhinav Kimothi -- 1, 2025 -- Manning Publications Co_ LLC -- isbn13 9781633435858 -- 305d96b4b3bafbadff8e71a246471b9c -- Anna’s Archive	—	—	firma
A Taxonomy for Learning, Teaching, and Assessing_ A Revision -- Lorin W_ Anderson and David R_ Krathwohl -- Complete ed_, New York, New York State, -- isbn13 9780321084057 -- e2b30729025252d76958a91b8f53a5b4 -- Anna’s Archive	—	—	firma
